"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~relationship_property_name","~end_node_id","~end_node_labels","~end_node_property_name"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:0","Methodology","We analyzed","research_question","analyzed_dataset","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:4","dataset","dataset"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:0","Methodology","We analyzed","research_question","analyzed_dataset","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:45","organization","UC San Diego"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1","Investment_Strategy","value and momentum","combined_with","combined_with","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:10","Asset_Class","bond selection"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:2","Methodology","weights","Machine_Learning_Techniques","equals","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:3","UNTYPED","1"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:5","Methodology","We trained","methodology","trained_on","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:8","relation","machine learning techniques"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6","Subject","Stock Portfolio Optimization with Machine Learning","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:7","Type","Project"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:9","Model","Our project","methodology","uses","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:11","function","stock portfolio optimization"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:12","Subject","Yalu, Ouyang","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:13","Type","Group Member"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:15","Subject","yaouyang@ucsd.edu","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:17","Type","Email Address"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:19","Subject","darell@ucsd.edu","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:17","Type","Email Address"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:21","Subject","dirk@ucsd.edu","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:17","Type","Email Address"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:23","Subject","six004@ucsd.edu","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:17","Type","Email Address"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","Model","GPT","trained_on","outperforms","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","Model","ANN"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","Model","GPT","trained_on","trained_on","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:81","Dataset","59 financial variables"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:27","Subject","Kyle, Wade","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:13","Type","Group Member"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:39","Model","NVIDIA","Apple_Inc_","stock_symbol","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:40","stock_symbol","NVIDIA shares"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:41","Model","MVO","outperforms","outperforms","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:42","Portfolio","S&P 500"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","Model","ANN","trained_on","outperforms","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:47","Model","Logistic"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","Model","ANN","utilizes_method","utilizes_method","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:78","Methodology","ANN"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:47","Model","Logistic","trained_on","outperforms","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","Model","GPT"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:48","Investment_Strategy","value","underperformed_in","underperformed_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:93","Asset_Class","Figure 4"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:48","Investment_Strategy","value","Time_Period","outperformed_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:49","Market","Japan"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:52","Investment_Strategy","50/50 combo portfolio","combined_with","combined_with","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:53","Investment_Strategy","two managers"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:52","Investment_Strategy","50/50 combo portfolio","combined_with","combined_with","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:92","Investment_Strategy","500 stocks long and 500 stocks short balancing each other"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:56","Investment_Strategy","Momentum investing","positive","has","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:57","UNTYPED","positive Sharpe ratios"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:58","Investment_Strategy","Investment_Strategy","underperformed_in","underperformed_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:59","Investment_Strategy","indexing"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:59","Investment_Strategy","indexing","combined_with","gets_a_free_ride_off","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:69","Investment_Strategy","people_who_are_doing_active_management"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:62","Investment_Strategy","Long_short_value_fixed_income_country_portfolio","correlated_with","has_volatility","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:63","Asset_Class","3_percent"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","Investment_Strategy","momentum","underperformed_in","underperformed_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:49","Market","Japan"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","Investment_Strategy","momentum","combined_with","is_largely_an_inefficiency_in_the_market","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:96","Correlation_Type","data_mining_and_risk_based_explanations"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:64","Investment_Strategy","momentum","correlated_with","is_largely_an_inefficiency_in_the_market","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:65","Correlation_Type","overreaction_or_underreaction"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:66","Investment_Strategy","Momentum","outperformed_in","outperformed_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:49","Market","Japan"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:67","Person","Many managers","applied_to","loved_quant_methods","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:68","Time_Period","one year ago"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:70","Algorithm","Portfolio management system in equity market neutral","uses_algorithm","uses_algorithm","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:71","Algorithm","reinforcement learning"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:70","Algorithm","Portfolio management system in equity market neutral","uses_algorithm","uses","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:71","Algorithm","reinforcement learning"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:72","Algorithm","Long short-term memory rnn","resulted_in","is_mentioned_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:73","Student_Author","C. B. Vennerød, A. Kjærran, and E. S. Bugge"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:74","Algorithm","Portfolio management system in equity market neutral using reinforcement learning","resulted_in","is_published_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:75","Tool_Library","Journal of Computational Science"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:76","Author","Ou and Penman (1989)","authored_by","authored_by","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:77","Methodology","stepwise logistic regression methodology"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:79","Author","Kim and Nikolaev (2023a)","authored_by","authored_by","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:80","Methodology","ANN model"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:82","Student_Author","K. Park, H.-G. Jung, T.-S. Eom, and S.-W. Lee","implemented_in","implemented_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:83","Journal","IEEE Transactions on Neural Networks and Learning Systems"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:84","Algorithm","Markowitz's Portfolio Selection","published_in","is_published_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:85","Tool_Library","The Journal of Finance"
